Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
0        0.00000000e+00    0.00000000e+00    0.00000000e+00   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    0.00000000e+00   -1.00000000e-03   -5.60000000e-05
1        2.50000000e-12    0.00000000e+00    0.00000000e+00   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02    0.00000000e+00   -1.00000000e-03   -5.60000000e-05
2        7.50000000e-12    0.00000000e+00    0.00000000e+00   -5.59999999e-02    1.00000000e+00    0.00000000e+00   -5.59999999e-02    0.00000000e+00   -1.00000000e-03   -5.59999999e-05
3        1.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999999e-02    1.00000000e+00    0.00000000e+00   -5.59999999e-02    0.00000000e+00   -1.00000000e-03   -5.59999999e-05
4        2.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999999e-02    1.00000000e+00    0.00000000e+00   -5.59999999e-02    0.00000000e+00   -1.00000000e-03   -5.59999999e-05
5        3.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999999e-02    1.00000000e+00    0.00000000e+00   -5.59999999e-02    0.00000000e+00   -1.00000000e-03   -5.59999999e-05
6        4.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999999e-02    1.00000000e+00    0.00000000e+00   -5.59999999e-02    0.00000000e+00   -1.00000000e-03   -5.59999999e-05
7        5.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
8        6.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
9        7.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
10       8.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
11       9.75000000e-11    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
12       1.07500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
13       1.17500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
14       1.27500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
15       1.37500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
16       1.47500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
17       1.57500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
18       1.67500000e-10    0.00000000e+00    0.00000000e+00   -5.59999998e-02    1.00000000e+00    0.00000000e+00   -5.59999998e-02    0.00000000e+00   -1.00000000e-03   -5.59999998e-05
