Index       TIME              V(IN)            V(IN1)            V(OUT)            V(VDD)            V(GATE)           V(OUT)            I(V_IN)          I(V_VDD)          I(R_LOAD)    
0        0.00000000e+00    8.00000000e-01    0.00000000e+00   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -8.00000000e-04   -1.00000000e-03   -5.60000000e-05
1        5.00000000e-13    8.00000000e-01    6.12556934e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -1.87443066e-04   -1.00000000e-03   -5.60000000e-05
2        5.62500000e-13    8.00000000e-01    6.66919618e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -1.33080382e-04   -1.00000000e-03   -5.60000000e-05
3        5.91000093e-13    8.00000000e-01    6.87816519e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -1.12183481e-04   -1.00000000e-03   -5.60000000e-05
4        6.19500186e-13    8.00000000e-01    7.06932964e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -9.30670363e-05   -1.00000000e-03   -5.60000000e-05
5        6.76500373e-13    8.00000000e-01    7.36160577e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -6.38394228e-05   -1.00000000e-03   -5.60000000e-05
6        7.33500559e-13    8.00000000e-01    7.56209261e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -4.37907386e-05   -1.00000000e-03   -5.60000000e-05
7        7.90500745e-13    8.00000000e-01    7.69961658e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -3.00383417e-05   -1.00000000e-03   -5.60000000e-05
8        8.47500932e-13    8.00000000e-01    7.79395116e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -2.06048838e-05   -1.00000000e-03   -5.60000000e-05
9        9.61501304e-13    8.00000000e-01    7.90580495e-01   -5.60000000e-02    1.00000000e+00    0.00000000e+00   -5.60000000e-02   -9.41950463e-06   -1.00000000e-03   -5.60000000e-05
